id,activity_class,activity_label,allowed_units
1,Strength,Powerlifting,"[""hours"",""sets""]"
2,Strength,Weightlifting (Olympic),"[""hours""]"
3,Strength,Bodybuilding,"[""hours""]"
4,Strength,Strongman,"[""hours""]"
5,Strength,CrossFit,"[""hours"",""sets""]"
6,Strength,Functional fitness,"[""hours"",""sets""]"
7,Strength,Calisthenics,"[""hours"",""sets""]"
8,Skill,Climbing,"[""hours"",""routes""]"
9,Speed,Interval Training,"[""mins"",""hours"",""sets""]"
10,Speed,Football (soccer),"[""hours"",""games""]"
11,Skill,Rugby,"[""hours"",""games""]"
12,Skill,Basketball,"[""hours"",""games""]"
13,Skill,Badminton,"[""hours"",""games""]"
14,Skill,Hockey,"[""hours"",""games""]"
15,Skill,Boxing,"[""hours""]"
16,Skill,Muay Thai,"[""hours""]"
17,Speed,HIIT,"[""mins"",""hours"",""sets""]"
18,Balance,Walking,"[""hours"",""km""]"
19,Balance,Hiking,"[""hours"",""km""]"
20,Balance,Pilates,"[""hours"",""sets""]"
21,Balance,Tai Chi,"[""hours"",""sets""]"
22,Balance,Stretching,"[""mins"",""hours"",""sets""]"
23,Balance,Dance,"[""hours""]"
24,Balance,Physical therapy,"[""hours""]"
25,Skill,Skateboarding,"[""hours""]"
26,Skill,Surfing,"[""hours""]"
27,Skill,Table tennis,"[""hours"",""games""]"
28,Skill,Golf,"[""hours"",""games""]"
29,Extreme,Long-distance running,"[""hours"",""km""]"
30,Extreme,Trail running,"[""hours"",""km""]"
31,Extreme,Triathlon,"[""hours"",""km""]"
32,Extreme,Ultra-endurance races,"[""hours"",""km""]"
33,Speed,Cycling,"[""hours"",""km""]"
34,Balance,Yoga,"[""hours""]"
35,Extreme,Cross-country skiing,"[""hours"",""km""]"
36,Skill,Brazilian Jiu-Jitsu,"[""hours""]"
37,Skill,Taekwondo,"[""hours""]"
